Wall time,Step,Value
1735313906.2869337,18520171,-0.517791748046875
1735313932.7759607,18581256,-1.0675201416015625
1735313960.6241071,18642794,-0.5566062927246094
1735313987.8962507,18704159,-0.3534088134765625
1735314014.4981515,18765367,-1.4377937316894531
1735314041.3085077,18826105,-0.419952392578125
1735314068.9317641,18887750,-0.8533096313476562
1735314095.0967956,18948607,-0.38958740234375
1735314121.8257425,19009796,-0.8575592041015625
1735314148.1800811,19070715,-0.8430938720703125
1735314174.4665465,19131577,-0.407562255859375
1735314201.9106658,19192534,-0.587371826171875
1735314229.934333,19254337,-0.6951828002929688
1735314256.5379446,19314583,-0.8107528686523438
1735314283.5386708,19375930,-0.5862579345703125
1735314310.231501,19437294,-0.8623275756835938
1735314336.5156965,19498626,-0.6496124267578125
1735314363.2589135,19559237,-0.5812835693359375
1735314390.3063064,19620433,-0.5368194580078125
1735314419.0236368,19682165,-0.6301956176757812
1735314446.2278903,19742987,-0.45220947265625
1735314473.0878046,19803201,-0.607330322265625
1735314499.343112,19864290,-1.373931884765625
1735314526.5028808,19925727,-0.8267669677734375
1735314552.5905209,19986616,-0.33432769775390625
1735314579.265998,20047959,-0.74688720703125
1735314606.9675195,20109606,-0.5329437255859375
1735314633.5256236,20170666,-0.9979782104492188
1735314660.164448,20231987,-0.6242599487304688
1735314686.351706,20292716,-0.495086669921875
1735314712.945332,20354000,-0.545501708984375
1735314740.937445,20415752,-0.7625274658203125
1735314767.4551528,20476822,-0.4318389892578125
1735314793.2881448,20537681,-0.768798828125
1735314819.630878,20599056,-0.6811370849609375
1735314846.243497,20659745,-1.4801177978515625
1735314873.4488606,20720920,-0.7874794006347656
1735314899.6936774,20781218,-1.0265731811523438
1735314926.09666,20842058,-0.7674102783203125
1735314953.099128,20902792,-0.674224853515625
1735314980.2695963,20963761,-1.0780181884765625
1735315006.9904287,21025004,-0.4835205078125
1735315033.1651173,21085777,-0.387664794921875
1735315059.595046,21146856,-0.6953125
1735315086.1394806,21207448,-0.5794525146484375
1735315113.1341345,21268800,-0.9869232177734375
1735315139.2999742,21329140,-0.4300994873046875
1735315165.8114917,21390534,-0.7283935546875
1735315192.332034,21451807,-1.513885498046875
1735315219.7854373,21512743,-0.3732337951660156
1735315247.5354664,21574635,-2.265522003173828
1735315276.6475625,21636197,-0.45123291015625
1735315304.7363675,21697782,-0.8688201904296875
1735315331.2010326,21758553,-1.4448280334472656
1735315357.5593975,21819116,-0.7308082580566406
1735315385.1371927,21880764,-0.748870849609375
1735315411.3174224,21941995,-0.7600326538085938
1735315437.922569,22003384,-3.589641571044922
1735315465.4389753,22064813,-0.4507484436035156
1735315491.8477342,22125819,-0.877349853515625
1735315520.8404167,22187359,-0.8255538940429688
1735315547.0984445,22248052,-0.5743026733398438
1735315573.358915,22309061,-1.4043769836425781
1735315600.0276716,22369933,-0.5776214599609375
1735315626.499467,22431142,-0.490692138671875
1735315653.296832,22491915,-0.61865234375
1735315679.8675263,22552806,-0.72711181640625
1735315707.0089622,22613717,-0.5240859985351562
1735315733.4462569,22674662,-0.4200286865234375
1735315759.9977355,22735839,-0.4278717041015625
1735315786.6496732,22797085,-0.5378265380859375
1735315814.2837684,22858924,-1.1099815368652344
1735315840.8672795,22920088,-0.5664520263671875
1735315868.0994978,22981165,-0.9441375732421875
1735315895.2161686,23042281,-0.789093017578125
1735315922.7528453,23103862,-0.9333953857421875
1735315949.6461983,23164557,-0.6832122802734375
1735315976.5471923,23225643,-0.7871017456054688
1735316003.7943418,23286706,-0.44366455078125
1735316032.1573753,23347674,-0.550079345703125
1735316060.611179,23409202,-0.8036041259765625
1735316086.9217205,23470464,-0.7005157470703125
1735316114.7561822,23531006,-1.155548095703125
1735316141.6339808,23591799,-1.1088829040527344
1735316168.5124373,23653039,-0.963775634765625
1735316195.1868708,23714138,-0.73895263671875
1735316223.2145014,23775978,-0.5847091674804688
1735316249.5240757,23837084,-0.47566986083984375
1735316276.1545794,23898137,-0.9787445068359375
1735316302.7721612,23959147,-0.40557861328125
1735316328.881872,24019606,-0.541717529296875
1735316355.7831655,24080351,-0.552459716796875
1735316382.3486116,24141709,-0.7020416259765625
1735316409.2687428,24202471,-0.8193893432617188
1735316435.5112066,24263259,-0.763031005859375
1735316462.5976715,24324619,-1.2010345458984375
